x1 x2 x3 v_real v_imag v_abs
5.05972 0.0194033 -0.998027 nan nan nan
5.02987 0.00970646 -0.999507 nan nan nan
5 1.41015e-15 -1 nan nan nan
5 0 1 nan nan nan
5.0292 0.0115631 0.999507 nan nan nan
5.05838 0.0231147 0.998027 nan nan nan
5.0875 0.0346436 0.995562 nan nan nan
5.11653 0.0461382 0.992115 nan nan nan
5.14545 0.0575874 0.987688 nan nan nan
5.17422 0.0689797 0.982287 nan nan nan
5.20282 0.0803039 0.975917 nan nan nan
5.23123 0.0915489 0.968583 nan nan nan
5.2594 0.102703 0.960294 nan nan nan
5.28732 0.113757 0.951057 nan nan nan
5.31495 0.124698 0.940881 nan nan nan
5.34227 0.135516 0.929776 nan nan nan
5.36926 0.1462 0.917755 nan nan nan
5.39588 0.15674 0.904827 nan nan nan
5.42211 0.167125 0.891007 nan nan nan
